precision;energy;occurences
1;-711.6;0.3
1;-1968.8;5.1
1;-1104.8;0.3
1;-2129.2;65.8
1;-1134.8;7.000000000000001
1;-1033.6;0.1
1;-529.6;0.2
1;-816.8;0.7000000000000001
1;-1956.8;14.000000000000002
1;-1836.8;0.8
