precision;energy;occurences
1;-629.2;56.2
1;-1968.8;94.39999999999999
0;-1020.8;0.4
1;-2129.2;2.9000000000000004
1;-1133.2;93.30000000000001
1;-1033.6;43.9
1;-529.6;98.8
1;-816.8;45.0
1;-1956.8;55.7
1;-1836.8;93.2
