precision;energy;occurences
1;-792.8;0.1
1;-19836.8;55.300000000000004
1;-16784.8;0.1
0;-13742.4;0.2
1;-18911.6;45.1
1;-4320.8;32.0
1;-24861.6;4.2
1;-10152.8;0.1
1;-22176.8;0.1
1;-12576.8;58.9
