-10;0.8183
-9.75;0.8182
-9.5;0.8178
-9.25;0.8217
-9.0;0.823
-8.75;0.8274
-8.5;0.8289
-8.25;0.8313
-8.0;0.8321
-7.75;0.8337
-7.5;0.8351
-7.25;0.8373
-7.0;0.8382
-6.75;0.8422
-6.5;0.8458
-6.25;0.8487
-6.0;0.8468
-5.75;0.8477
-5.5;0.855
-5.25;0.8527
-5.0;0.8573
-4.75;0.8583
-4.5;0.862
-4.25;0.8632
-4.0;0.8645
-3.75;0.87
-3.5;0.8717
-3.25;0.8762
-3.0;0.8794
-2.75;0.8823
-2.5;0.8866
-2.25;0.887
-2.0;0.8892
-1.75;0.8947
-1.5;0.8952
-1.25;0.8997
-1.0;0.9067
-0.75;0.9096
-0.5;0.9104
-0.25;0.914
0.0;0.855
0.25;0.9592
0.5;0.9582
0.75;0.9576
1.0;0.9567
1.25;0.9577
1.5;0.956
1.75;0.9553
2.0;0.9553
2.25;0.9545
2.5;0.955
2.75;0.9548
3.0;0.9532
3.25;0.9536
3.5;0.9528
3.75;0.952
4.0;0.9524
4.25;0.952
4.5;0.9524
4.75;0.9506
5.0;0.9509
5.25;0.9502
5.5;0.95
5.75;0.9497
6.0;0.9497
6.25;0.9501
6.5;0.9495
6.75;0.9477
7.0;0.9473
7.25;0.9477
7.5;0.9477
7.75;0.9469
8.0;0.9464
8.25;0.947
8.5;0.9465
8.75;0.9461
9.0;0.9455
9.25;0.9472
9.5;0.9452
9.75;0.9458
10.0;0.9448
10.25;0.9442
10.5;0.9449
10.75;0.9437
