m,prob_annealed,prob_random,real
2,2.627389228359907,2.2522818301368477,2.66375419175261
2,2.650188340323216,2.650188340323216,2.650188340323216
2,2.5973916257435725,2.7153296585895337,2.7153296585895337
2,2.3272904994511183,2.4079194629162504,2.4079194629162504
3,2.8459113144378736,1.7297911606951377,2.304041239683662
3,2.9652312341332765,2.367006089140764,2.70690852532595
3,2.920529802485395,2.3949205713017223,2.410303702764702
3,1.4978924402229477,2.491229469680423,2.684563193696049
4,2.6136596636147207,2.777205150548338,2.777205150548338
4,1.9470539889831322,2.1410824940704387,2.6695974889769074
4,1.9813002788007892,1.522160356906936,2.1391558245100493
4,2.596242475283029,2.2162017774189455,2.799675206693842
5,2.4928699027990096,1.7903469477747815,2.4148549647877404
5,1.9970310247222312,2.46173636935099,2.46173636935099
5,2.5789303099353575,2.5500677672845495,2.5500677672845495
6,1.9995351915862214,1.3964472654524513,2.0118434085132937
6,1.9996824932834607,1.739244598529363,1.739244598529363
6,1.994926846277985,1.2235739543186166,2.229319178919097
6,1.9979185574305443,1.0914100781999763,1.629555662423591
6,1.9997943542742473,1.4944928554868293,1.7924450203115612
