m,prob_annealed,prob_random,real,random
2,1.1636160782536282,1.1636160782536282,1.1636160782536282,0.39392122214663494
2,1.7882146997794153,1.7882146997794153,1.7882146997794153,1.7882146997794153
2,1.901972618114641,1.901972618114641,1.901972618114641,1.8381730655690693
2,1.2817666111572938,1.2817666111572938,1.2817666111572938,0.9901003234203206
2,1.709759969768359,1.709759969768359,1.709759969768359,1.709759969768359
3,1.4171197568219385,1.4171197568219385,1.4171197568219385,0.41633725343283245
3,1.9082084630399914,1.9082084630399914,1.9082084630399914,0.1770466382993776
3,1.9215178885168622,1.9215178885168622,1.9215178885168622,1.7396019092665314
3,1.9375249886428336,1.9375249886428336,1.9375249886428336,1.2625078803244545
3,1.892909898230081,1.892909898230081,1.892909898230081,1.892909898230081
4,1.7327313673232239,1.9760857793570823,1.9760857793570823,0.16155941698554688
4,1.356700270088345,1.356700270088345,1.356700270088345,0.2939816835337724
4,1.9628941270158076,1.9628941270158076,1.9628941270158076,1.9628941270158076
4,1.9926710573371516,1.9926710573371516,1.9926710573371516,0.8558118865342077
4,0.9762044927393891,1.3383251717005888,1.3383251717005888,0.9762044927393891
5,1.8337765743326857,1.8337765743326857,1.8337765743326857,1.247642762997776
5,1.9761895208293871,1.9761895208293871,1.9761895208293871,1.0420751448009593
5,1.797206395398477,1.797206395398477,1.797206395398477,1.797206395398477
5,1.8226626734905333,1.9284861873304089,1.9284861873304089,0.3586874910969673
5,1.3034362466938332,1.8760214503916652,1.8760214503916652,1.3034362466938332
