x;y;z
1.5;-4.0;1.0
1.75;-4.0;1.0
2.0;-4.0;1.0
2.25;-4.0;1.0
2.5;-4.0;1.0
2.75;-4.0;0.9666666666666667
3.0;-4.0;1.0
3.25;-4.0;1.0
3.5;-4.0;1.0
3.75;-4.0;1.0
4.0;-4.0;1.0
4.25;-4.0;1.0
4.5;-4.0;1.0
4.75;-4.0;1.0
5.0;-4.0;1.0
-5;-3.75;1.0
-4.75;-3.75;1.0
-4.5;-3.75;0.9666666666666667
-4.25;-3.75;0.9666666666666667
-4.0;-3.75;0.9666666666666667
-3.75;-3.75;1.0
-3.5;-3.75;1.0
-3.25;-3.75;0.9666666666666667
-3.0;-3.75;1.0
-2.75;-3.75;1.0
-2.5;-3.75;1.0
-2.25;-3.75;1.0
-2.0;-3.75;1.0
-1.75;-3.75;1.0
-1.5;-3.75;0.9666666666666667
-1.25;-3.75;0.9666666666666667
-1.0;-3.75;1.0
-0.75;-3.75;1.0
-0.5;-3.75;0.9666666666666667
-0.25;-3.75;0.9333333333333333
0.0;-3.75;1.0
0.25;-3.75;1.0
0.5;-3.75;1.0
0.75;-3.75;0.9333333333333333
1.0;-3.75;1.0
1.25;-3.75;0.9666666666666667
1.5;-3.75;1.0
1.75;-3.75;1.0
2.0;-3.75;1.0
2.25;-3.75;1.0
2.5;-3.75;1.0
2.75;-3.75;1.0
3.0;-3.75;1.0
3.25;-3.75;1.0
3.5;-3.75;1.0
3.75;-3.75;1.0
4.0;-3.75;1.0
4.25;-3.75;1.0
4.5;-3.75;1.0
4.75;-3.75;1.0
5.0;-3.75;1.0
-5;-3.5;1.0
-4.75;-3.5;1.0
-4.5;-3.5;0.9666666666666667
-4.25;-3.5;1.0
-4.0;-3.5;1.0
-3.75;-3.5;1.0
-3.5;-3.5;1.0
-3.25;-3.5;0.9666666666666667
-3.0;-3.5;1.0
-2.75;-3.5;1.0
-2.5;-3.5;1.0
-2.25;-3.5;1.0
-2.0;-3.5;1.0
-1.75;-3.5;1.0
-1.5;-3.5;1.0
-1.25;-3.5;1.0
-1.0;-3.5;1.0
-0.75;-3.5;1.0
-0.5;-3.5;0.9666666666666667
-0.25;-3.5;0.9666666666666667
0.0;-3.5;1.0
0.25;-3.5;1.0
0.5;-3.5;1.0
0.75;-3.5;0.9333333333333333
1.0;-3.5;1.0
1.25;-3.5;0.9666666666666667
1.5;-3.5;1.0
1.75;-3.5;1.0
2.0;-3.5;1.0
2.25;-3.5;1.0
2.5;-3.5;1.0
2.75;-3.5;1.0
3.0;-3.5;1.0
3.25;-3.5;1.0
3.5;-3.5;0.9666666666666667
3.75;-3.5;1.0
4.0;-3.5;1.0
4.25;-3.5;1.0
4.5;-3.5;1.0
4.75;-3.5;1.0
5.0;-3.5;1.0
-5;-3.25;1.0
-4.75;-3.25;0.9333333333333333
-4.5;-3.25;0.9666666666666667
-4.25;-3.25;0.9333333333333333
-4.0;-3.25;1.0
-3.75;-3.25;1.0
-3.5;-3.25;0.9333333333333333
-3.25;-3.25;1.0
-3.0;-3.25;1.0
-2.75;-3.25;1.0
-2.5;-3.25;1.0
-2.25;-3.25;1.0
-2.0;-3.25;1.0
-1.75;-3.25;1.0
-1.5;-3.25;1.0
-1.25;-3.25;1.0
-1.0;-3.25;1.0
-0.75;-3.25;1.0
-0.5;-3.25;1.0
-0.25;-3.25;1.0
0.0;-3.25;1.0
0.25;-3.25;1.0
0.5;-3.25;1.0
0.75;-3.25;1.0
1.0;-3.25;1.0
1.25;-3.25;1.0
1.5;-3.25;1.0
1.75;-3.25;1.0
2.0;-3.25;1.0
2.25;-3.25;1.0
2.5;-3.25;1.0
2.75;-3.25;1.0
3.0;-3.25;0.9666666666666667
3.25;-3.25;1.0
3.5;-3.25;1.0
3.75;-3.25;0.9666666666666667
4.0;-3.25;1.0
4.25;-3.25;1.0
4.5;-3.25;1.0
4.75;-3.25;1.0
5.0;-3.25;1.0
-5;-3.0;0.9666666666666667
-4.75;-3.0;0.9666666666666667
-4.5;-3.0;0.9666666666666667
-4.25;-3.0;0.9666666666666667
-4.0;-3.0;1.0
-3.75;-3.0;1.0
-3.5;-3.0;0.9666666666666667
-3.25;-3.0;0.9666666666666667
-3.0;-3.0;1.0
-2.75;-3.0;1.0
-2.5;-3.0;0.9
-2.25;-3.0;0.9666666666666667
-2.0;-3.0;1.0
-1.75;-3.0;1.0
-1.5;-3.0;1.0
-1.25;-3.0;1.0
-1.0;-3.0;0.9666666666666667
-0.75;-3.0;1.0
-0.5;-3.0;1.0
-0.25;-3.0;0.9666666666666667
0.0;-3.0;1.0
0.25;-3.0;1.0
0.5;-3.0;1.0
0.75;-3.0;0.9333333333333333
1.0;-3.0;0.9666666666666667
1.25;-3.0;1.0
1.5;-3.0;1.0
1.75;-3.0;1.0
2.0;-3.0;0.9333333333333333
2.25;-3.0;0.9666666666666667
2.5;-3.0;1.0
2.75;-3.0;1.0
3.0;-3.0;1.0
3.25;-3.0;1.0
3.5;-3.0;1.0
3.75;-3.0;1.0
4.0;-3.0;1.0
4.25;-3.0;1.0
4.5;-3.0;1.0
4.75;-3.0;1.0
5.0;-3.0;1.0
-5;-2.75;1.0
-4.75;-2.75;1.0
-4.5;-2.75;1.0
-4.25;-2.75;1.0
-4.0;-2.75;0.9666666666666667
-3.75;-2.75;1.0
-3.5;-2.75;1.0
-3.25;-2.75;1.0
-3.0;-2.75;1.0
-2.75;-2.75;1.0
-2.5;-2.75;0.9666666666666667
-2.25;-2.75;1.0
-2.0;-2.75;1.0
-1.75;-2.75;0.9666666666666667
-1.5;-2.75;1.0
-1.25;-2.75;0.9666666666666667
-1.0;-2.75;1.0
-0.75;-2.75;1.0
-0.5;-2.75;1.0
-0.25;-2.75;1.0
0.0;-2.75;1.0
0.25;-2.75;1.0
0.5;-2.75;0.9666666666666667
0.75;-2.75;1.0
1.0;-2.75;0.9666666666666667
1.25;-2.75;1.0
1.5;-2.75;1.0
1.75;-2.75;1.0
2.0;-2.75;1.0
2.25;-2.75;1.0
2.5;-2.75;0.9666666666666667
2.75;-2.75;1.0
3.0;-2.75;1.0
3.25;-2.75;1.0
3.5;-2.75;1.0
3.75;-2.75;1.0
4.0;-2.75;1.0
4.25;-2.75;1.0
4.5;-2.75;1.0
4.75;-2.75;1.0
5.0;-2.75;1.0
-5;-2.5;1.0
-4.75;-2.5;1.0
-4.5;-2.5;1.0
-4.25;-2.5;1.0
-4.0;-2.5;0.9666666666666667
-3.75;-2.5;1.0
-3.5;-2.5;0.9666666666666667
-3.25;-2.5;1.0
-3.0;-2.5;0.9666666666666667
-2.75;-2.5;1.0
-2.5;-2.5;0.9666666666666667
-2.25;-2.5;1.0
-2.0;-2.5;1.0
-1.75;-2.5;0.9666666666666667
-1.5;-2.5;1.0
-1.25;-2.5;1.0
-1.0;-2.5;1.0
-0.75;-2.5;1.0
-0.5;-2.5;0.9666666666666667
-0.25;-2.5;0.9
0.0;-2.5;1.0
0.25;-2.5;1.0
0.5;-2.5;1.0
0.75;-2.5;1.0
1.0;-2.5;1.0
1.25;-2.5;1.0
1.5;-2.5;1.0
1.75;-2.5;1.0
2.0;-2.5;1.0
2.25;-2.5;1.0
2.5;-2.5;1.0
2.75;-2.5;0.9666666666666667
3.0;-2.5;1.0
3.25;-2.5;1.0
3.5;-2.5;1.0
3.75;-2.5;1.0
4.0;-2.5;1.0
4.25;-2.5;1.0
4.5;-2.5;0.9666666666666667
4.75;-2.5;0.9666666666666667
5.0;-2.5;1.0
-5;-2.25;1.0
-4.75;-2.25;0.9666666666666667
-4.5;-2.25;1.0
-4.25;-2.25;1.0
-4.0;-2.25;1.0
-3.75;-2.25;1.0
-3.5;-2.25;0.9666666666666667
-3.25;-2.25;1.0
-3.0;-2.25;1.0
-2.75;-2.25;1.0
-2.5;-2.25;1.0
-2.25;-2.25;1.0
-2.0;-2.25;0.9666666666666667
-1.75;-2.25;0.9666666666666667
-1.5;-2.25;1.0
-1.25;-2.25;0.9666666666666667
-1.0;-2.25;0.9666666666666667
-0.75;-2.25;1.0
-0.5;-2.25;0.9666666666666667
-0.25;-2.25;0.9666666666666667
0.0;-2.25;0.9666666666666667
0.25;-2.25;1.0
0.5;-2.25;1.0
0.75;-2.25;1.0
1.0;-2.25;0.9333333333333333
1.25;-2.25;1.0
1.5;-2.25;1.0
1.75;-2.25;1.0
2.0;-2.25;1.0
2.25;-2.25;1.0
2.5;-2.25;1.0
2.75;-2.25;1.0
3.0;-2.25;1.0
3.25;-2.25;1.0
3.5;-2.25;1.0
3.75;-2.25;1.0
4.0;-2.25;1.0
4.25;-2.25;1.0
4.5;-2.25;1.0
4.75;-2.25;0.9666666666666667
5.0;-2.25;1.0
-5;-2.0;0.9666666666666667
-4.75;-2.0;1.0
-4.5;-2.0;1.0
-4.25;-2.0;0.9666666666666667
-4.0;-2.0;1.0
-3.75;-2.0;1.0
-3.5;-2.0;1.0
-3.25;-2.0;0.9666666666666667
-3.0;-2.0;1.0
-2.75;-2.0;0.9666666666666667
-2.5;-2.0;1.0
-2.25;-2.0;1.0
-2.0;-2.0;1.0
-1.75;-2.0;0.9666666666666667
-1.5;-2.0;1.0
-1.25;-2.0;1.0
-1.0;-2.0;1.0
-0.75;-2.0;1.0
-0.5;-2.0;0.9333333333333333
-0.25;-2.0;1.0
0.0;-2.0;1.0
0.25;-2.0;0.9666666666666667
0.5;-2.0;1.0
0.75;-2.0;1.0
1.0;-2.0;1.0
1.25;-2.0;1.0
1.5;-2.0;1.0
1.75;-2.0;1.0
2.0;-2.0;1.0
2.25;-2.0;0.9666666666666667
2.5;-2.0;1.0
2.75;-2.0;1.0
3.0;-2.0;1.0
3.25;-2.0;1.0
3.5;-2.0;1.0
3.75;-2.0;1.0
4.0;-2.0;1.0
4.25;-2.0;1.0
4.5;-2.0;1.0
4.75;-2.0;1.0
5.0;-2.0;1.0
-5;-1.75;1.0
-4.75;-1.75;1.0
-4.5;-1.75;1.0
-4.25;-1.75;1.0
-4.0;-1.75;0.9666666666666667
-3.75;-1.75;0.9666666666666667
-3.5;-1.75;1.0
-3.25;-1.75;1.0
-3.0;-1.75;1.0
-2.75;-1.75;1.0
-2.5;-1.75;1.0
-2.25;-1.75;0.9666666666666667
-2.0;-1.75;1.0
-1.75;-1.75;0.9333333333333333
-1.5;-1.75;1.0
-1.25;-1.75;1.0
-1.0;-1.75;1.0
-0.75;-1.75;1.0
-0.5;-1.75;1.0
-0.25;-1.75;1.0
0.0;-1.75;1.0
0.25;-1.75;1.0
0.5;-1.75;1.0
0.75;-1.75;1.0
1.0;-1.75;1.0
1.25;-1.75;1.0
1.5;-1.75;1.0
1.75;-1.75;1.0
2.0;-1.75;1.0
2.25;-1.75;1.0
2.5;-1.75;1.0
2.75;-1.75;1.0
3.0;-1.75;0.9666666666666667
