num. of qubits; precision
2;1.0
3;1.0
4;1.0
5;1.0
6;0.998
7;0.999
8;1.0
9;0.998
10;0.999
11;0.997
12;0.998
13;0.998
14;0.996
15;0.993
16;0.997
17;0.997
18;0.994
19;0.996
20;0.987
21;0.988
22;0.985
23;0.991
24;0.994
25;0.992
26;0.992
