num. of qubits; precision
0;1.0
1;1.0
2;1.0
3;1.0
4;1.0
5;1.0
6;1.0
7;1.0
8;1.0
9;0.999
10;1.0
11;1.0
12;1.0
13;1.0
14;1.0
15;0.997
16;0.998
17;0.998
18;0.995
19;0.993
20;0.993
21;0.989
22;0.998
23;0.992
24;0.992
25;0.991
26;0.985
